,topic,subtopic,video,video_length_[mins],video_length_[hrs]
912,08 Pathology 51h57m,15 Musculoskeletal-Dr. Barone,20 Pathology Review.mp4,98.78,1.65
913,08 Pathology 51h57m,16 Clinical Correlates & Animations,02 Factor V Leiden Thrombophilia.mp4,11.99,0.2
914,08 Pathology 51h57m,16 Clinical Correlates & Animations,03 Lyme Disease.mp4,20.63,0.34
915,08 Pathology 51h57m,16 Clinical Correlates & Animations,04 Goodpasture Syndrome.mp4,18.48,0.31
916,08 Pathology 51h57m,16 Clinical Correlates & Animations,05 Barretts Esophagus.mp4,3.18,0.05
917,08 Pathology 51h57m,16 Clinical Correlates & Animations,06 Hemostasis and Bleeding Disorders.mp4,6.08,0.1
918,08 Pathology 51h57m,16 Clinical Correlates & Animations,08 Antiphospholipid Syndrome.mp4,15.54,0.26
919,08 Pathology 51h57m,16 Clinical Correlates & Animations,Congestive Heart Failure (2019).mp4,12.13,0.2
920,08 Pathology 51h57m,16 Clinical Correlates & Animations,Cor Pulmonale (2019).mp4,18.57,0.31
921,09 Pharmacology 20h41m,01 General Principles,01 Pharmacokinetics - Permeation.mp4,31.27,0.52
922,09 Pharmacology 20h41m,01 General Principles,02 Pharmacokinetics - Absorption and Distribution.mp4,26.12,0.44
923,09 Pharmacology 20h41m,01 General Principles,03 Pharmacokinetics - Biotransformation.mp4,24.53,0.41
924,09 Pharmacology 20h41m,01 General Principles,04 Pharmacokinetics - Elimination.mp4,15.47,0.26
925,09 Pharmacology 20h41m,01 General Principles,05 Pharmacokinetics - Steady State Review Questions.mp4,24.64,0.41
926,09 Pharmacology 20h41m,01 General Principles,06 Pharmacodynamics - Definitions and D-R Curves.mp4,22.93,0.38
927,09 Pharmacology 20h41m,01 General Principles,07 Pharmacodynamics - Signaling Mechanisms.mp4,13.53,0.23
928,09 Pharmacology 20h41m,01 General Principles,Drug Development and Testing (2019).mp4,10.71,0.18
929,09 Pharmacology 20h41m,02 Autonomic,01 The Autonomic Nervous System - The Autonomic Nervous System.mp4,34.04,0.57
930,09 Pharmacology 20h41m,02 Autonomic,02 Cholinergic Pharmacology - Cholinergic Pharmacology Agonists.mp4,49.65,0.83
931,09 Pharmacology 20h41m,02 Autonomic,03 Cholinergic Pharmacology - Cholinergic Pharmacology Antagonists.mp4,23.49,0.39
932,09 Pharmacology 20h41m,02 Autonomic,04 Adrenergic Pharmacology - Adrenergic Pharmacology.mp4,50.33,0.84
933,09 Pharmacology 20h41m,02 Autonomic,05 Adrenergic Pharmacology - Alpha and Beta Receptors.mp4,22.43,0.37
934,09 Pharmacology 20h41m,02 Autonomic,06 Autonomic Drugs_ Glaucoma Treatment - Autonomic Drugs Glaucoma Treatment Questions.mp4,58.04,0.97
935,09 Pharmacology 20h41m,03 Cardiac and Renal,01 Cardiac and Renal Pharmacology - Diuretics.mp4,47.54,0.79
936,09 Pharmacology 20h41m,03 Cardiac and Renal,02 Cardiac and Renal Pharmacology - Antihypertensives.mp4,47.24,0.79
937,09 Pharmacology 20h41m,03 Cardiac and Renal,03 Cardiac and Renal Pharmacology - Drugs for Heart Failure.mp4,21.53,0.36
938,09 Pharmacology 20h41m,03 Cardiac and Renal,04 Cardiac and Renal Pharmacology - Cardiac Action Potential.mp4,20.72,0.35
939,09 Pharmacology 20h41m,03 Cardiac and Renal,05 Cardiac and Renal Pharmacology - Antiarrhythmic Drugs Classification.mp4,33.63,0.56
940,09 Pharmacology 20h41m,03 Cardiac and Renal,06 Cardiac and Renal Pharmacology - Antianginal Drugs.mp4,18.7,0.31
941,09 Pharmacology 20h41m,03 Cardiac and Renal,07 Cardiac and Renal Pharmacology - Antihyperlipidemics.mp4,14.37,0.24
942,09 Pharmacology 20h41m,04 CNS Pharmacology,01 Central Nervous System Pharmacology - Sedative-Hypnotic Anxiolytic Drugs.mp4,17.6,0.29
943,09 Pharmacology 20h41m,04 CNS Pharmacology,02 Central Nervous System Pharmacology - Alcohols.mp4,10.62,0.18
944,09 Pharmacology 20h41m,04 CNS Pharmacology,"03 Central Nervous System Pharmacology - Drugs Used for Depression, Bipolar Disorders, and ADHD.mp4",21.23,0.35
945,09 Pharmacology 20h41m,04 CNS Pharmacology,04 Central Nervous System Pharmacology - Drugs Used in Parkinson Disease and Psychosis.mp4,34.09,0.57
946,09 Pharmacology 20h41m,04 CNS Pharmacology,05 Central Nervous System Pharmacology - Anticonvulsants.mp4,16.34,0.27
947,09 Pharmacology 20h41m,04 CNS Pharmacology,06 Central Nervous System Pharmacology - Drugs Used in Anesthesia.mp4,30.77,0.51
948,09 Pharmacology 20h41m,04 CNS Pharmacology,07 Central Nervous System Pharmacology - Opioid Analgesics.mp4,21.93,0.37
949,09 Pharmacology 20h41m,04 CNS Pharmacology,08 Central Nervous System Pharmacology - Drugs of Abuse.mp4,5.17,0.09
950,09 Pharmacology 20h41m,05 Antimicrobials,01 Antimicrobial Agents - Inhibitors of Cell_Wall Synthesis.mp4,37.72,0.63
951,09 Pharmacology 20h41m,05 Antimicrobials,02 Antimicrobial Agents - Inhibitors of Bacterial Protein Synthesis.mp4,22.68,0.38
952,09 Pharmacology 20h41m,05 Antimicrobials,03 Antimicrobial Agents - Inhibitors of Folic Acid Synthesis.mp4,11.36,0.19
953,09 Pharmacology 20h41m,05 Antimicrobials,04 Antimicrobial Agents - Unclassified Antibiotics and Antitubercular Drugs.mp4,16.5,0.28
954,09 Pharmacology 20h41m,05 Antimicrobials,05 Antimicrobial Agents - Antifungal Agents.mp4,12.31,0.21
955,09 Pharmacology 20h41m,05 Antimicrobials,06 Antimicrobial Agents - Antiviral Agents.mp4,27.02,0.45
956,09 Pharmacology 20h41m,05 Antimicrobials,07 Antimicrobial Agents - Antiprotozoal Agents.mp4,7.11,0.12
957,09 Pharmacology 20h41m,06 Anti-inflammatories,01 Drugs for Inflammatory and Related Disorders - Histamine and Antihistamines.mp4,6.04,0.1
958,09 Pharmacology 20h41m,06 Anti-inflammatories,02 Drugs for Inflammatory and Related Disorders - Drugs Used in Gastrointestinal Dysfunction.mp4,16.38,0.27
959,09 Pharmacology 20h41m,06 Anti-inflammatories,03 Drugs for Inflammatory and Related Disorders - Drugs Acting on Serotonergic Systems.mp4,6.5,0.11
960,09 Pharmacology 20h41m,06 Anti-inflammatories,04 Drugs for Inflammatory and Related Disorders - Eicosanoid Pharmacology.mp4,33.18,0.55
961,09 Pharmacology 20h41m,06 Anti-inflammatories,05 Drugs for Inflammatory and Related Disorders - Drugs Used for Treatment of Rheumatoid Arthritis.mp4,4.65,0.08
962,09 Pharmacology 20h41m,06 Anti-inflammatories,06 Drugs for Inflammatory and Related Disorders - Drugs Used for Treatment of Gout.mp4,8.3,0.14
963,09 Pharmacology 20h41m,06 Anti-inflammatories,07 Drugs for Inflammatory and Related Disorders - Glucocorticoids.mp4,3.83,0.06
964,09 Pharmacology 20h41m,06 Anti-inflammatories,08 Drugs for Inflammatory and Related Disorders - Drugs Used for Treatment of Asthma.mp4,12.89,0.21
965,09 Pharmacology 20h41m,07 Blood Disorders,01 Drugs Used in Blood Disorders - Anticoagulants.mp4,16.13,0.27
966,09 Pharmacology 20h41m,07 Blood Disorders,02 Drugs Used in Blood Disorders - Thrombolytics.mp4,2.5,0.04
967,09 Pharmacology 20h41m,07 Blood Disorders,03 Drugs Used in Blood Disorders - Antiplatelet Drugs.mp4,5.27,0.09
968,09 Pharmacology 20h41m,08 Endocrine,01 Endocrine Pharmacology - Drugs Used in Diabetes.mp4,19.5,0.32
969,09 Pharmacology 20h41m,08 Endocrine,02 Endocrine Pharmacology - Steroid Hormones.mp4,16.19,0.27
970,09 Pharmacology 20h41m,08 Endocrine,03 Endocrine Pharmacology - Antithyroid Agents.mp4,4.81,0.08
971,09 Pharmacology 20h41m,08 Endocrine,04 Endocrine Pharmacology - Drugs Related to Hypothalamic and Pituitary Hormones.mp4,4.29,0.07
972,09 Pharmacology 20h41m,08 Endocrine,05 Endocrine Pharmacology - Drugs Used for Bone and Mineral Disorders.mp4,3.5,0.06
973,09 Pharmacology 20h41m,09 Anticancer Drugs,01 Anticancer Drugs - Anticancer Drugs.mp4,24.12,0.4
974,09 Pharmacology 20h41m,10 Immunopharmacology,01 Immunopharmacology - Immunopharmacology.mp4,5.85,0.1
975,09 Pharmacology 20h41m,11 Toxicology,01 Toxicology - Toxicology.mp4,25.39,0.42
976,09 Pharmacology 20h41m,12 Clinical Correlates & Animations,01 Renin Angiotensin Aldosterone System.mp4,7.82,0.13
977,09 Pharmacology 20h41m,12 Clinical Correlates & Animations,02 Diabetic Ketoacidosis.mp4,17.35,0.29
978,09 Pharmacology 20h41m,12 Clinical Correlates & Animations,03 Syndrome of Inappropriate Antidiuretic Hormone.mp4,17.53,0.29
979,09 Pharmacology 20h41m,12 Clinical Correlates & Animations,04 Neuroleptic Malignant Syndrome.mp4,12.6,0.21
980,09 Pharmacology 20h41m,12 Clinical Correlates & Animations,05 Diuretics.mp4,10.94,0.18
981,09 Pharmacology 20h41m,12 Clinical Correlates & Animations,06 Common OTC Drug Overdoses.mp4,24.62,0.41
982,09 Pharmacology 20h41m,12 Clinical Correlates & Animations,07 Serotonin Syndrome.mp4,14.65,0.24
983,09 Pharmacology 20h41m,12 Clinical Correlates & Animations,Congestive Heart Failure (2019).mp4,12.13,0.2
984,Behavioral Science 2019,01 Epidemiology & Biostats,01 Epidemiology - Epidemiologic Measures.mp4,34.56,0.58
985,Behavioral Science 2019,01 Epidemiology & Biostats,02 Epidemiology - Screening Tests.mp4,63.17,1.05
986,Behavioral Science 2019,01 Epidemiology & Biostats,03 Epidemiology - Research Study.mp4,75.61,1.26
987,Behavioral Science 2019,01 Epidemiology & Biostats,04 Biostatistics - Key Probability Rules.mp4,12.37,0.21
988,Behavioral Science 2019,01 Epidemiology & Biostats,05 Biostatistics - Descriptive Statistics  Summarizing the Data.mp4,15.41,0.26
989,Behavioral Science 2019,01 Epidemiology & Biostats,06 Biostatistics - Inferential Statistics Part 1.mp4,25.65,0.43
990,Behavioral Science 2019,01 Epidemiology & Biostats,"07 Biostatistics - Nominal, Ordinal, Interval, and Ratio Scales.mp4",4,0.07
991,Behavioral Science 2019,01 Epidemiology & Biostats,08 Biostatistics - Statistical Tests.mp4,8.34,0.14
992,Behavioral Science 2019,02 Behavioral Science,01 Substance Abuse - Physiology of Substance Abuse.mp4,2.61,0.04
993,Behavioral Science 2019,02 Behavioral Science,02 Substance Abuse - Alcohol and Alcoholism.mp4,10.58,0.18
994,Behavioral Science 2019,02 Behavioral Science,03 Substance Abuse - Common Abused Substances.mp4,1.27,0.02
995,Behavioral Science 2019,02 Behavioral Science,04 Substance Abuse - Other Abused Substances.mp4,2.59,0.04
996,Behavioral Science 2019,02 Behavioral Science,05 Substance Abuse - Substance-Abusing Physicians.mp4,0.98,0.02
997,Behavioral Science 2019,02 Behavioral Science,06 Human Sexuality - Sexual Behavior in the United States.mp4,2.07,0.03
998,Behavioral Science 2019,02 Behavioral Science,07 Human Sexuality - Paraphilias.mp4,3.03,0.05
999,Behavioral Science 2019,02 Behavioral Science,08 Human Sexuality - Sexual Dysfunctions.mp4,9.8,0.16
1000,Behavioral Science 2019,02 Behavioral Science,09Human Sexuality - Masturbation.mp4,1.5,0.02
1001,Behavioral Science 2019,02 Behavioral Science,10 Human Sexuality - Homosexuality.mp4,0.91,0.02
1002,Behavioral Science 2019,02 Behavioral Science,11 Human Sexuality - Sexuality and Aging.mp4,1.3,0.02
1003,Behavioral Science 2019,02 Behavioral Science,12 Learning and Behavior Modification - Learning and Behavior.mp4,14.73,0.25
1004,Behavioral Science 2019,02 Behavioral Science,13 Learning and Behavior Modification - Behavior Therapy and Behavior Modification.mp4,5.43,0.09
1005,Behavioral Science 2019,02 Behavioral Science,14 Defense Mechanisms - General Issues.mp4,4.38,0.07
1006,Behavioral Science 2019,02 Behavioral Science,15 Defense Mechanisms - Four Clusters of Defenses.mp4,22.57,0.38
1007,Behavioral Science 2019,02 Behavioral Science,16 Defense Mechanisms - Transference.mp4,1.39,0.02
1008,Behavioral Science 2019,02 Behavioral Science,17 Psychologic Health and Testing - Psychologic Health and Physical Health.mp4,1.85,0.03
1009,Behavioral Science 2019,02 Behavioral Science,18 Psychologic Health and Testing - Psychologic Adjustment and Physical Health.mp4,1.72,0.03
1010,Behavioral Science 2019,02 Behavioral Science,19 Psychologic Health and Testing - Intelligence Quotient (IQ).mp4,4.34,0.07
1011,Behavioral Science 2019,02 Behavioral Science,20 Psychologic Health and Testing - Personality Tests.mp4,0.63,0.01
1012,Behavioral Science 2019,02 Behavioral Science,21 Psychologic Health and Testing - Neuropsychologic Test.mp4,0.92,0.02
1013,Behavioral Science 2019,02 Behavioral Science,22 Human Development - Developmental Milestones.mp4,28.62,0.48
1014,Behavioral Science 2019,02 Behavioral Science,23 Human Development - Applying Child-Development Principles.mp4,8.98,0.15
1015,Behavioral Science 2019,02 Behavioral Science,24 Human Development - Abuse.mp4,8.62,0.14
1016,Behavioral Science 2019,02 Behavioral Science,25 Sleep and Sleep Disorders - Sleep Architecture.mp4,11.29,0.19
1017,Behavioral Science 2019,02 Behavioral Science,26 Sleep and Sleep Disorders - Developmental Aspects of Sleep.mp4,0.99,0.02
1018,Behavioral Science 2019,02 Behavioral Science,27 Sleep and Sleep Disorders - Sleep Disorders.mp4,11.02,0.18
1019,Behavioral Science 2019,02 Behavioral Science,28 Sleep and Sleep Disorders - Biochemistry of Sleep.mp4,3.23,0.05
1020,Behavioral Science 2019,02 Behavioral Science,29 Physician-Patient Relationships - General Rules about Physician-Patient Relationships.mp4,27.08,0.45
1021,Behavioral Science 2019,02 Behavioral Science,30 Diagnostic and Statistical Manual V - Childhood Disorders.mp4,16.79,0.28
1022,Behavioral Science 2019,02 Behavioral Science,31 Diagnostic and Statistical Manual V - Schizophrenia.mp4,22.27,0.37
1023,Behavioral Science 2019,02 Behavioral Science,32 Diagnostic and Statistical Manual V - Mood Disorders.mp4,17.01,0.28
1024,Behavioral Science 2019,02 Behavioral Science,33 Diagnostic and Statistical Manual V - Eating and Anxiety Disorders.mp4,20.41,0.34
1025,Behavioral Science 2019,02 Behavioral Science,34 Diagnostic and Statistical Manual V - Obsessive Compulsive and Related Disorders.mp4,23.09,0.38
1026,Behavioral Science 2019,02 Behavioral Science,35 Diagnostic and Statistical Manual V - Personality Disorders.mp4,17.31,0.29
1027,Behavioral Science 2019,02 Behavioral Science,36 Organic Disorders - Tourette Syndrome.mp4,1.83,0.03
1028,Behavioral Science 2019,02 Behavioral Science,37 Organic Disorders - HIV-Related Dementia.mp4,2.1,0.04
1029,Behavioral Science 2019,02 Behavioral Science,38 Organic Disorders - Delirium versus Dementia.mp4,13.13,0.22
1030,Behavioral Science 2019,02 Behavioral Science,39 Organic Disorders - Hemispheric Dominance.mp4,6.46,0.11
1031,Behavioral Science 2019,02 Behavioral Science,40 Organic Disorders - Brain and Behavior.mp4,11.7,0.19
1032,Behavioral Science 2019,02 Behavioral Science,41 Psychopharmacology - Antipsychotics (Neuroleptics).mp4,15.05,0.25
1033,Behavioral Science 2019,02 Behavioral Science,42 Psychopharmacology - Antidepressants.mp4,11.66,0.19
1034,Behavioral Science 2019,02 Behavioral Science,43 Psychopharmacology - Mood Stabilizers.mp4,4.84,0.08
1035,Behavioral Science 2019,02 Behavioral Science,44 Psychopharmacology - Anxiolytics (Antianxiety).mp4,4.3,0.07
1036,Behavioral Science 2019,02 Behavioral Science,45 Ethical and Legal Issues - Legal Issues Related to Medical Practice.mp4,38.03,0.63
1037,Microbiology 2019,01 General Microbiology,01 General Microbiology - Major Microbial Groups.mp4,15.98,0.27
1038,Microbiology 2019,01 General Microbiology,02 General Microbiology - Pathogenicity (Infectivity and Toxicity) Major Mechanisms.mp4,20.64,0.34
1039,Microbiology 2019,01 General Microbiology,03 General Microbiology - Toxins.mp4,15.14,0.25
1040,Microbiology 2019,02 Bacteria,004. Microbiology - Sec. II Medically Important Bacteria Topics 1-15 - Detailed Overview.mp4,8.83,0.15
1041,Microbiology 2019,02 Bacteria,005. Microbiology - Sec. II Medically Important Bacteria Topics 1-15 - Endospores.mp4,3.16,0.05
1042,Microbiology 2019,02 Bacteria,006. Microbiology - Sec. II Medically Important Bacteria Topics 1-15 - Bacterial Growth and Death.mp4,2.84,0.05
1043,Microbiology 2019,02 Bacteria,007. Microbiology - Sec. II Medically Important Bacteria Topics 1-15 - Culture of Microorganisms.mp4,7.19,0.12
1044,Microbiology 2019,02 Bacteria,008. Microbiology - Sec. II Medically Important Bacteria Topics 1-15 - Anaerobic and Aerobic.mp4,5.43,0.09
1045,Microbiology 2019,02 Bacteria,009. Microbiology - Sec. II Medically Important Bacteria Topics 1-15 - Stains.mp4,5.67,0.09
1046,Microbiology 2019,02 Bacteria,010. Microbiology - Sec. II Medically Important Bacteria Topics 1-15 - Gram-Staining Reactions.mp4,5.09,0.08
1047,Microbiology 2019,02 Bacteria,011. Microbiology - Sec. II Medically Important Bacteria Topics 1-15 - Gram-Positive Cocci.mp4,11.15,0.19
1048,Microbiology 2019,02 Bacteria,012. Microbiology - Sec. II Medically Important Bacteria Topics 1-15 - Genus Staphylococcus.mp4,19.86,0.33
1049,Microbiology 2019,02 Bacteria,013. Microbiology - Sec. II Medically Important Bacteria Topics 1-15 - Genus Streptococcus.mp4,30.08,0.5
1050,Microbiology 2019,02 Bacteria,014. Microbiology - Sec. II Medically Important Bacteria Topics 1-15 - Genus Enterococcus.mp4,3.65,0.06
1051,Microbiology 2019,02 Bacteria,015. Microbiology - Sec. II Medically Important Bacteria Topics 1-15 - Gram-Positive Rods.mp4,2.95,0.05
1052,Microbiology 2019,02 Bacteria,016. Microbiology - Sec. II Medically Important Bacteria Topics 1-15 - Genus Bacillus.mp4,11.58,0.19
1053,Microbiology 2019,02 Bacteria,017. Microbiology - Sec. II Medically Important Bacteria Topics 1-15 - Genus Clostridium.mp4,33.02,0.55
1054,Microbiology 2019,02 Bacteria,018. Microbiology - Sec. II Medically Important Bacteria Topics 1-15 - Genus Listeria.mp4,12.11,0.2
1055,Microbiology 2019,02 Bacteria,019. Microbiology - Sec. II Medically Important Bacteria Topics 16-30 - Genus Corynebacterium.mp4,9.83,0.16
1056,Microbiology 2019,02 Bacteria,020. Microbiology - Sec. II Medically Important Bacteria Topics 16-30 - Genus Actinomyces.mp4,5.81,0.1
1057,Microbiology 2019,02 Bacteria,021. Microbiology - Sec. II Medically Important Bacteria Topics 16-30 - Genus Nocardia.mp4,3.93,0.07
1058,Microbiology 2019,02 Bacteria,022. Microbiology - Sec. II Medically Important Bacteria Topics 16-30 - Genus Mycobacterium.mp4,32.97,0.55
1059,Microbiology 2019,02 Bacteria,023. Microbiology - Sec. II Medically Important Bacteria Topics 16-30 - Gram-Negative Cocci.mp4,0.64,0.01
1060,Microbiology 2019,02 Bacteria,024. Microbiology - Sec. II Medically Important Bacteria Topics 16-30 - Genus Neisseria.mp4,24.58,0.41
1061,Microbiology 2019,02 Bacteria,025. Microbiology - Sec. II Medically Important Bacteria Topics 16-30 - Moraxella.mp4,1.99,0.03
1062,Microbiology 2019,02 Bacteria,026. Microbiology - Sec. II Medically Important Bacteria Topics 16-30 - Gram-Negative Bacilli.mp4,0.89,0.01
1063,Microbiology 2019,02 Bacteria,027. Microbiology - Sec. II Medically Important Bacteria Topics 16-30 - Genus Pseudomonas.mp4,9.62,0.16
1064,Microbiology 2019,02 Bacteria,028. Microbiology - Sec. II Medically Important Bacteria Topics 16-30 - Genus Legionella.mp4,6.76,0.11
1065,Microbiology 2019,02 Bacteria,029. Microbiology - Sec. II Medically Important Bacteria Topics 16-30 - Genus Francisella.mp4,6.32,0.11
1066,Microbiology 2019,02 Bacteria,030. Microbiology - Sec. II Medically Important Bacteria Topics 16-30 - Genus Bordetella.mp4,12.58,0.21
1067,Microbiology 2019,02 Bacteria,031. Microbiology - Sec. II Medically Important Bacteria Topics 16-30 - Genus Brucella.mp4,7.59,0.13
1068,Microbiology 2019,02 Bacteria,032. Microbiology - Sec. II Medically Important Bacteria Topics 16-30 - Genus Campylobacter.mp4,10.12,0.17
1069,Microbiology 2019,02 Bacteria,033. Microbiology - Sec. II Medically Important Bacteria Topics 16-30 - Genus Helicobacter.mp4,6.48,0.11
1070,Microbiology 2019,02 Bacteria,034. Microbiology - Sec. II Medically Important Bacteria Topics 31-45 - Genus Vibrio.mp4,9.76,0.16
1071,Microbiology 2019,02 Bacteria,035. Microbiology - Sec. II Medically Important Bacteria Topics 31-45 - Family Enterobacteriaceae.mp4,7.78,0.13
1072,Microbiology 2019,02 Bacteria,036. Microbiology - Sec. II Medically Important Bacteria Topics 31-45 - Genus Escherichia.mp4,17.89,0.3
1073,Microbiology 2019,02 Bacteria,037. Microbiology - Sec. II Medically Important Bacteria Topics 31-45 - Genus Klebsiella.mp4,5.48,0.09
1074,Microbiology 2019,02 Bacteria,038. Microbiology - Sec. II Medically Important Bacteria Topics 31-45 - Genus Shigella.mp4,8.23,0.14
1075,Microbiology 2019,02 Bacteria,039. Microbiology - Sec. II Medically Important Bacteria Topics 31-45 - Genus Yersinia.mp4,10.9,0.18
1076,Microbiology 2019,02 Bacteria,040. Microbiology - Sec. II Medically Important Bacteria Topics 31-45 - Genus Proteus.mp4,5.06,0.08
1077,Microbiology 2019,02 Bacteria,041. Microbiology - Sec. II Medically Important Bacteria Topics 31-45 - Genus Salmonella.mp4,21.43,0.36
1078,Microbiology 2019,02 Bacteria,042. Microbiology - Sec. II Medically Important Bacteria Topics 31-45 - Genus Haemophilus.mp4,12.02,0.2
1079,Microbiology 2019,02 Bacteria,043. Microbiology - Sec. II Medically Important Bacteria Topics 31-45 - Genus Gardnerella.mp4,4.99,0.08
1080,Microbiology 2019,02 Bacteria,044. Microbiology - Sec. II Medically Important Bacteria Topics 31-45 - Genus Pasteurella.mp4,2.47,0.04
1081,Microbiology 2019,02 Bacteria,045. Microbiology - Sec. II Medically Important Bacteria Topics 31-45 - Additional Organisms Associated with Animal and Human Bites.mp4,4.68,0.08
1082,Microbiology 2019,02 Bacteria,046. Microbiology - Sec. II Medically Important Bacteria Topics 31-45 - HACEK Group Infections.mp4,2.21,0.04
1083,Microbiology 2019,02 Bacteria,047. Microbiology - Sec. II Medically Important Bacteria Topics 31-45 - Genus Bacteroides.mp4,3.4,0.06
1084,Microbiology 2019,02 Bacteria,048. Microbiology - Sec. II Medically Important Bacteria Topics 31-45 - Introduction to Spiral Shaped Gram Negative Rods.mp4,0.62,0.01
1085,Microbiology 2019,02 Bacteria,049. Microbiology - Sec. II Medically Important Bacteria Topics 46-53 - Genus Treponema.mp4,11.58,0.19
1086,Microbiology 2019,02 Bacteria,050. Microbiology - Sec. II Medically Important Bacteria Topics 46-53 - Genus Borrelia.mp4,7.46,0.12
1087,Microbiology 2019,02 Bacteria,051. Microbiology - Sec. II Medically Important Bacteria Topics 46-53 - Genus Leptospira.mp4,3.21,0.05
1088,Microbiology 2019,02 Bacteria,052. Microbiology - Sec. II Medically Important Bacteria Topics 46-53 - Family Chlamydiaceae.mp4,12.34,0.21
1089,Microbiology 2019,02 Bacteria,053. Microbiology - Sec. II Medically Important Bacteria Topics 46-53 - Genus Chlamydophila.mp4,3.79,0.06
1090,Microbiology 2019,02 Bacteria,054. Microbiology - Sec. II Medically Important Bacteria Topics 46-53 - Genus Rickettsia.mp4,6.91,0.12
1091,Microbiology 2019,02 Bacteria,055. Microbiology - Sec. II Medically Important Bacteria Topics 46-53 - Genus Ehrlichia.mp4,3.71,0.06
1092,Microbiology 2019,02 Bacteria,056. Microbiology - Sec. II Medically Important Bacteria Topics 46-53 - Family Mycoplasmataeceae.mp4,7.13,0.12
1093,Microbiology 2019,02 Bacteria,057. Microbiology - Sec. II Microbial Genetics Drug Resistance - The Bacterial Genetic Material.mp4,3.92,0.07
1094,Microbiology 2019,02 Bacteria,058. Microbiology - Sec. II Microbial Genetics Drug Resistance - Rearrangement of DNA Within A Bacterium.mp4,4.97,0.08
1095,Microbiology 2019,02 Bacteria,059. Microbiology - Sec. II Microbial Genetics Drug Resistance - Mechanisms of DNA Exchange.mp4,8.94,0.15
1096,Microbiology 2019,02 Bacteria,060. Microbiology - Sec. II Microbial Genetics Drug Resistance - Conjugal Crosses.mp4,23.14,0.39
1097,Microbiology 2019,02 Bacteria,061. Microbiology - Sec. II Microbial Genetics Drug Resistance - Drug Resistance.mp4,12.99,0.22
1098,Microbiology 2019,02 Bacteria,062. Microbiology - Sec. II Microbial Genetics Drug Resistance - Antibiotic Susceptibility Testing.mp4,9.26,0.15
1099,Microbiology 2019,03 Viruses,063. Microbiology - Sec. II Medically Important Viruses Topics 1-15 - Structure and Morphology.mp4,3.74,0.06
1100,Microbiology 2019,03 Viruses,064. Microbiology - Sec. II Medically Important Viruses Topics 1-15 - Viral Replication.mp4,31.92,0.53
1101,Microbiology 2019,03 Viruses,065. Microbiology - Sec. II Medically Important Viruses Topics 1-15 - Patterns of Viral Infections.mp4,12.47,0.21
1102,Microbiology 2019,03 Viruses,066. Microbiology - Sec. II Medically Important Viruses Topics 1-15 - Host Resistance to Viral Infection.mp4,9.37,0.16
1103,Microbiology 2019,03 Viruses,067. Microbiology - Sec. II Medically Important Viruses Topics 1-15 - Viral Hepatitis.mp4,28.53,0.48
1104,Microbiology 2019,03 Viruses,068. Microbiology - Sec. II Medically Important Viruses Topics 1-15 - DNA Viruses Characteristics.mp4,8.37,0.14
1105,Microbiology 2019,03 Viruses,069. Microbiology - Sec. II Medically Important Viruses Topics 1-15 - Parvoviridae.mp4,7.48,0.12
1106,Microbiology 2019,03 Viruses,070. Microbiology - Sec. II Medically Important Viruses Topics 1-15 - Papillomaviridae.mp4,11.36,0.19
1107,Microbiology 2019,03 Viruses,071. Microbiology - Sec. II Medically Important Viruses Topics 1-15 - Polyomaviridae.mp4,1.54,0.03
1108,Microbiology 2019,03 Viruses,072. Microbiology - Sec. II Medically Important Viruses Topics 1-15 - Adenoviridae.mp4,8.01,0.13
1109,Microbiology 2019,03 Viruses,073. Microbiology - Sec. II Medically Important Viruses Topics 1-15 - Herpesviridae.mp4,42.03,0.7
1110,Microbiology 2019,03 Viruses,074. Microbiology - Sec. II Medically Important Viruses Topics 1-15 - Poxviridae.mp4,6.1,0.1
1111,Microbiology 2019,03 Viruses,075. Microbiology - Sec. II Medically Important Viruses Topics 1-15 - RNA Viruses.mp4,4.78,0.08
1112,Microbiology 2019,03 Viruses,076. Microbiology - Sec. II Medically Important Viruses Topics 1-15 - Caliciviridae.mp4,3.6,0.06
1113,Microbiology 2019,03 Viruses,077. Microbiology - Sec. II Medically Important Viruses Topics 1-15 - Hepeviridae.mp4,0.33,0.01
1114,Microbiology 2019,03 Viruses,078. Microbiology - Sec. II Medically Important Viruses Topics 16-31 - Picornaviridae.mp4,11.05,0.18
1115,Microbiology 2019,03 Viruses,079. Microbiology - Sec. II Medically Important Viruses Topics 16-31 - Flaviviridae.mp4,6.84,0.11
1116,Microbiology 2019,03 Viruses,080. Microbiology - Sec. II Medically Important Viruses Topics 16-31 - Togaviridae.mp4,5.28,0.09
1117,Microbiology 2019,03 Viruses,081. Microbiology - Sec. II Medically Important Viruses Topics 16-31 - Coronaviridae.mp4,2.87,0.05
1118,Microbiology 2019,03 Viruses,082. Microbiology - Sec. II Medically Important Viruses Topics 16-31 - Retroviridae.mp4,24.38,0.41
1119,Microbiology 2019,03 Viruses,083. Microbiology - Sec. II Medically Important Viruses Topics 16-31 - Negative-Stranded RNA Viruses.mp4,4.84,0.08
1120,Microbiology 2019,03 Viruses,084. Microbiology - Sec. II Medically Important Viruses Topics 16-31 - Paramyxoviridae.mp4,10.5,0.18
